-2279,1709,15858
-2432,1300,15368
-1834,2092,16291
-1804,375,15781
-1279,1976,14717
-616,891,15320
-962,1556,15577
-522,1407,16162
38,2234,16652
960,1845,16308
2369,2229,15945
1013,1194,15435
1409,-684,14213
3739,1801,15495
2530,1559,14365
4529,2814,14452
6754,3507,14409
-4799,-918,19064
3713,2145,15694
5586,4150,14324
4951,3492,14265
4015,4828,14930
3092,3827,15260
5080,4607,14249
5079,4277,14367
4558,4575,15232
4078,4342,15130
4159,3870,15039
3676,4810,15607
4030,4573,15516
4372,3894,15096
3949,4316,15035
4597,3897,14942
4693,3587,15090
4949,3232,15258
3499,4051,15943
2463,3035,15342
2630,1792,14690
2359,2036,15056
2377,2094,15713
1446,3051,16767
1196,2911,17097
558,1687,15924
73,1811,16129
122,1224,15510
68,562,15897
396,1273,15399
-867,1622,16418
-1128,473,16851
-257,80,17741
-1263,395,17433
-1954,192,16568
-998,-968,15484
-1922,-891,15622
-1857,-1110,14552
-2057,-455,15629
-2790,-80,17469
-4383,-566,19201
-3830,-1304,17561
-4292,-619,16164
-5430,-62,14930
-6669,1472,17355
-8951,335,16518
-7233,2774,15986
-8813,574,12375
-8595,1285,11964
-10851,3458,11835
-12690,2654,12485
-11697,1933,10568
-10571,1250,8138
-10816,2587,8308
-14206,5024,7334
-14768,5096,5658
-14305,4556,6215
-13106,5886,3902
-13468,6722,3194
-14460,4037,6714
-15720,5923,1449
-16201,5423,-22
-15208,6079,-1223
-13995,7659,-3261
-12991,7420,-3994
-13497,8365,-2673
-11233,10627,-6440
-8846,8214,-5856
-10133,6653,-8091
-7695,7980,-9617
-5565,8432,-10442
-5147,8224,-10511
-4467,8665,-9386
-147,8294,-10774
-1505,8619,-10754
-419,8640,-11266
4197,7632,-11365
3177,8052,-11948
2563,6145,-10187
3500,6959,-12891
5483,5722,-17757
7257,4641,-16470
9654,10484,-13311
7367,5973,-13015
11754,14510,-13942
6915,6567,-15897
7599,6888,-13649
3990,3208,-12901
5228,3099,-11689
7311,2659,-14838
4777,4109,-14195
4856,2805,-13805
6748,427,-14889
7182,-1924,-14287
6855,-1157,-14094
5731,457,-14982
4294,-1394,-14571
6718,-1270,-14972
7610,-2957,-16002
7835,-810,-16003
5264,-2296,-17183
5406,-1499,-17110
6159,-3045,-16524
6720,-2690,-16296
6485,-2365,-17009
6438,-1796,-17830
6622,-1696,-18319
6260,-2087,-18491
5491,-1038,-16595
5358,-164,-8794
4692,3271,-13814
4639,3123,-14756
4443,4611,-14775
3991,6387,-15558
4175,8290,-16163
2177,7382,-14078
791,8246,-12813
-298,9095,-11732
455,11121,-11369
-1606,10136,-10917
-5860,10574,-11279
-6398,10957,-6971
-6010,10333,-4323
-4671,10120,-5981
-9420,7618,-5180
-10971,5985,-4600
-11368,8031,-2593
-12839,8448,-112
-15722,11494,1343
-14430,6113,4643
-12243,7322,997
-12755,8209,5184
-14532,8015,7134
-12145,3463,7542
-14420,3012,10004
-13269,3072,9614
-12522,1814,8726
-12763,2572,8163
-12856,3629,9118
-11264,3719,10706
-11795,3963,8243
-10794,4130,9446
-10745,3198,10854
-11159,2967,11264
-10937,3138,12593
-10871,2339,11947
-10087,682,11636
-10389,1439,13234
-9553,720,14225
-9091,535,15508
-8363,347,14472
-7445,52,15039
-6936,-187,16726
-6942,-45,15827
-7149,-536,15462
-6217,-2120,16133
-5887,-1830,16286
-5709,-2213,16077
-5495,-3289,15475
-5195,-2547,15585
-5077,-3933,15925
-4428,-7229,18069
-4636,-6414,18077
-4704,-7492,14769
-3536,-9735,14549
-3665,-11046,15104
-3207,-11130,15820
-3129,-8591,16640
-2100,-6133,14069
-616,-7444,14122
231,-9072,13035
1238,-11601,13232
2255,-13378,10879
3709,-10113,8317
4511,-10026,8502
5788,-12238,8700
6308,-12301,9535
7106,-11190,6184
8230,-12877,3894
8515,-10620,4366
8495,-9147,2833
9282,-10139,2173
10932,-14159,3227
12337,-15133,2134
12706,-13976,2459
11588,-10405,185
12391,-11740,1416
13483,-13176,887
13470,-11296,112
12430,-8512,373
10833,-6632,-2036
13232,-9665,-1489
13812,-10172,-2804
12772,-7959,-3922
12528,-6272,-3553
11894,-8270,-2411
11849,-9068,-1604
12554,-8458,-3930
12503,-8429,-3809
12239,-8273,-3339
11876,-7981,-2935
11994,-7772,-3336
11730,-8985,-850
11058,-8212,-396
10864,-9256,1081
10984,-9876,514
11299,-10935,389
11428,-11282,-400
10837,-11663,219
